
# This file contains all the info about the car colours. There are two
# sections, col which contains the colour table and car which contains 
# the possible indices into the colour table for each car.
#
#
# Press START on controller to reload this file while the game is running.
#
#
#
#
#
#	now in colour order
#	
#
#
# flip colours to be only used on speciel cars...

# the fields after RGB in the colour table are for the police scanner audio - prefix,colour
# prefix can be one of -, bright, light, dark.  Please use '-' (without the quotes) for a colour that is neither light nor dark
# colour can be one of:
# Black, blue, brown, beige, graphite, green, grey, orange, pink, red, silver, white, yellow, GrottiRed, DewbaucheGreen

col
#BLACK's
10,10,10,-,black			# 0 black				
37,37,39,-,black			# 1 black poly				
#GREYS/SILVERS
101,106,121,-,grey			# 2 concord blue poly			
88,89,90,dark,grey			# 3 pewter gray poly			
156,161,163,-,silver			# 4 silver stone poly			
150,145,140,-,silver			# 5 winning silver poly			
81,84,89,dark,grey			# 6 steel gray poly			
63,62,69,dark,grey			# 7 shadow silver poly			
165,169,167,-,silver			# 8 silver stone poly			
151,149,146,-,silver			# 9 porcelain silver poly		
118,123,124,-,grey			# 10 gray poly				
90,87,82,dark,graphite			# 11 anthracite gray poly		
173,176,176,-,silver			# 12 astra silver poly			
132,137,136,light,grey			# 13 ascot gray				
148,157,159,-,grey			# 14 clear crystal blue frost poly	
164,167,165,-,silver			# 15 silver poly			
88,88,83,dark,graphite			# 16 dk.titanium poly			
164,160,150,light,graphite			# 17 titanium frost poly		
175,177,177,-,white			# 18 police white			
109,108,110,-,grey			# 19 medium gray poly			
100,104,106,-,grey			# 20 med.gray poly			
82,86,97,dark,grey			# 21 steel gray poly			
140,146,154,-,grey			# 22 slate gray				
91,93,94,-,graphite			# 23 gun metal poly			
189,190,198,light,grey			# 24 light blue grey			
182,182,182,-,white			# 25 securicor light gray		
100,100,100,-,grey			# 26 arctic white			

#RED
226,6,6,bright,red			# 27 very red				
150,8,0,-,red				# 28 torino red pearl			
107,0,0,-,red				# 29 formula red			
97,16,9,-,red				# 30 blaze red				
74,10,10,-,red				# 31 graceful red mica			
115,11,11,-,red				# 32 garnet red poly			
87,7,7,-,red				# 33 desert red				
38,3,6,dark,red				# 34 cabernet red poly			
158,0,0,-,GrottiRed				# 35 turismo red			
20,0,2,dark,red				# 36 desert red				
15,4,4,dark,red				# 37 currant red solid			
15,8,10,dark,red			# 38 brt.currant red poly		
57,25,29,-,red				# 39 elec.currant red poly		
85,39,37,-,red				# 40 med.cabernet solid			
76,41,41,-,red				# 41 wild strawberry poly		
116,29,40,-,red				# 42 med.red solid			
109,40,55,bright,red			# 43 bright red				
115,10,39,bright,pink			# 44 bright red				
100,13,27,-,red				# 45 med.garnet red poly		
98,11,28,bright,red			# 46 brilliant red poly			
115,24,39,bright,red			# 47 brilliant red poly2		
171,152,143,light,pink			# 48 alabaster solid			
32,32,44,dark,blue			# 49 twilight blue poly			

#GREEN
68,98,79,-,green			# 50 torch red				
46,91,32,-,green			# 51 green				
30,46,50,dark,green			# 52 deep jewel green			
48,79,69,dark,green			# 53 agate green			
77,98,104,light,blue			# 54 petrol blue green poly		
94,112,114,-,green			# 55 hoods				
25,56,38,dark,green			# 56 green				
45,58,53,dark,green			# 57 dark green poly			
51,95,63,-,green			# 58 rio red				
71,120,60,bright,green			# 59 securicor dark green		
147,163,150,light,green			# 60 seafoam poly			
154,167,144,light,beige			# 61 pastel alabaster solid		

#BLUE
38,55,57,dark,blue			# 62 midnight blue			 
76,117,183,bright,blue			# 63 striking blue			 
70,89,122,-,blue			# 64 saxony blue poly			
93,126,141,light,blue			# 65 jasper green poly			
59,78,120,-,blue			# 66 mariner blue			
61,74,104,-,blue			# 67 harbor blue poly			
109,122,136,light,blue			# 68 diamond blue poly			
22,34,72,dark,blue			# 69 surf blue				
39,47,75,dark,blue			# 70 nautical blue poly			
78,104,129,-,blue			# 71 lt.crystal blue poly		
106,122,140,light,blue			# 72 med regatta blue poly		
111,130,151,light,blue			# 73 spinnaker blue solid		
14,49,109,-,blue			# 74 ultra blue poly			
57,90,131,light,blue			# 75 bright blue poly			
32,75,107,-,blue			# 76 nassau blue poly			
43,62,87,-,blue				# 77 med.sapphire blue poly		
54,65,85,-,blue				# 78 steel blue poly			
108,132,149,-,blue			# 79 lt.sapphire blue poly		
77,93,96,-,blue				# 80 malachite poly			
64,108,143,-,blue			# 81 med.maui blue poly			
19,69,115,bright,blue			# 82 bright blue poly			
16,80,130,bright,blue			# 83 bright blue poly			
56,86,148,-,blue			# 84 blue				
0,28,50,dark,blue			# 85 dk.sapphire blue poly		
89,110,135,light,blue			# 86 lt.sapphire blue poly		
34,52,87,-,blue				# 87 med.sapphire blue firemist		
32,32,44,dark,blue			# 88 twilight blue poly			

#YELLOW
245,137,15,-,yellow			# 89 taxi yellow			
145,115,71,-,yellow			# 90 race yellow solid			
142,140,70,-,yellow			# 91 pastel alabaster			
170,173,142,light,yellow			# 92 oxford white solid			
174,155,127,-,yellow			# 93 flax				
150,129,108,-,yellow			# 94 med.flax				
122,117,96,-,beige			# 95 pueblo beige			
157,152,114,light,yellow			# 96 light ivory			
152,149,134,light,beige			# 97 smoke silver poly			
156,141,113,-,yellow			# 98 bisque frost poly			

#ORANGE

#PURPLE
105,30,59,-,pink			# 99 classic red			
114,42,63,dark,pink			# 100 vermilion solid			
124,27,68,bright,pink			# 101 vermillion solid			

#BROWN
34,25,24,-,brown			# 102 biston brown poly			
127,105,86,light,brown			# 103 lt.beechwood poly			
71,53,50,dark,brown			# 104 dk.beechwood poly			
105,88,83,light,brown			# 105 dk.sable poly			
98,68,40,-,brown			# 106 med.beechwood poly		
125,98,86,light,brown			# 107woodrose poly			
170,157,132,light,beige			# 108 sandalwood frost poly		
123,113,94,-,brown			# 109 med.sandalwood poly		
171,146,118,-,beige			# 110 copper beige			
99,92,90,-,brown			# 111 warm grey mica			

#WHITE
201,201,201,-,white			# 112 white				
214,218,214,-,white			# 113 frost white			
159,157,148,-,beige			# 114 honey beige poly			
147,163,150,-,white			# 115 seafoam poly			
156,156,152,-,white			# 116 lt.titanium poly			
167,162,143,-,white			# 117 lt.champagne poly			
15,106,137,light,blue			# 118 arctic pearl			

161,153,131,-,white			# 119 lt.driftwood poly			
163,173,198,-,white			# 120 white diamond pearl		
155,139,128,-,beige			# 121 antelope beige			
132,148,171,light,blue			# 122 currant blue poly			 
158,164,171,-,white			# 123 crystal blue poly			 
#PURPLE

#SPEC FLIP COLOURS
134,68,110,-,pink			# 124 temple curtain purple		
226,6,6,-,red				# 125 cherry red			
71,120,60,light,green			# 126 securicor dark green		
215,142,16,-,yellow			# 127 taxi yellow			
42,119,161,-,blue			# 128 police car blue			

#MSC
66,31,33,dark,brown			# 129 mellow burgundy			
111,103,95,-,brown			# 130 desert taupe poly			
252,38,0,bright,orange			# 131 lammy orange
252,109,0,-,yellow			# 132 lammy yellow
255,255,255,-,white			# 133 very white
end


# car3 section:
#
# 2 body colors + color of 2nd specular
#
car3
schafter, 	0,26,0,0, 0,94,0,133, 7,26,3,133, 11,26,11,0, 12,4,12,0, 16,26,16,133, 36,94,36,0, 57,94,3,133, 87,26,87,0, 113,26,113,0,
admiral, 	0,0,22, 7,7,79, 16,16,93, 34,34,32, 52,52,50, 54,54,53, 62,62,65, 70,70,63, 72,72,64, 102,102,105, 104,104,105, 116,116,122, 16,16,76, 9,9,91, 15,15,93, 19,19,93, 13,13,80,
airtug,		113,113,113,
ambulance, 	113,28,113,
annihilator,	0,0,8
banshee, 	0,0,88, 0,1,87, 1,1,2, 1,1,90, 1,4,8, 12,1,87, 23,23,90, 28,28,89, 31,9,32, 35,0,28, 39,39,28, 46,46,28, 49,49,118, 52,4,118, 53,53,50, 62,89,65, 66,1,71, 89,1,50, 36,4,90, 77,48,118, 16,16,19, 9,9,91, 15,0,93, 128,132,94
buccaneer,	19,19,19, 16,16,16, 38,38,38, 50,50,50, 57,57,57, 72,72,72, 77,77,77, 88,88,88, 94,94,94, 97,97,97, 102,102,102, 16,16,76, 9,9,91, 15,15,93, 19,19,93, 13,13,80,
benson, 	113,17,113, 116,108,116,
biff,		40,40,39, 52,52,53, 97,97,97, 90,90,90, 52,52,52, 41,41,41, 36,36,36, 41,41,41, 48,48,48, 55,55,55, 57,57,57, 64,64,64, 71,71,71, 77,77,77, 
blista, 	0,0,1, 3,0,1, 4,4,1, 10,10,92, 16,0,1, 31,0,1, 31,31,33, 34,0,1, 36,10,37, 36,36,1, 49,49,75, 52,0,1, 56,56,57, 55,0,1, 62,55,1, 64,0,1, 68,0,72, 72,0,2, 95,0,1, 103,104,1, 106,0,1, 109,109,1, 1,109,1,
bobber,		0,5,50, 13,0,1, 11,11,5, 0,0,8, 7,0,8, 33,33,33, 43,43,30, 48,0,48, 54,54,57, 56,0,50, 67,67,65,
bobcat, 	11,11,12, 1,11,5, 5,5,5, 34,34,32, 53,53,54, 54,54,55, 57,57,57, 69,69,67, 76,76,67, 95,95,95, 102,102,103, 16,16,76, 9,9,91, 15,15,93, 19,19,93, 13,13,80,
boxville, 	113,1,112, 113,28,112, 113,31,112, 113,50,112, 113,58,112, 92,64,112, 92,85,112, 93,112,112,
burrito, 	9,9,9, 11,11,11, 1,1,2, 13,13,13, 23,23,3, 68,68,68, 31,31,31, 36,36,36, 41,41,41, 48,48,48, 55,55,55, 57,57,57, 64,64,64, 71,71,71, 77,77,77, 90,90,90, 104,104,104, 106,106,104, 0,0,1, 4,4,4,
burrito2, 	9,9,9, 11,11,11, 1,1,2, 13,13,13, 23,23,3, 68,68,68, 31,31,31, 36,36,36, 41,41,41, 48,48,48, 55,55,55, 57,57,57, 64,64,64, 71,71,71, 77,77,77, 90,90,90, 104,104,104, 106,106,104, 0,0,1, 4,4,4,
bus, 		53,8,53,
cabby, 		89,89,1, 89,1,1 
cablecar, 	45,45,1,
